group_id,group_name,group_creator
1,chewy-lime-woodlouse,688
2,ugly-ivory-turkey,761
3,squeaky-wheat-dane,493
4,greasy-emerald-drever,90
5,zippy-mauve-spaniel,834
6,skimpy-wisteria-dugong,41
7,flabby-buff-kingfisher,664
8,paltry-azure-earwig,133
9,grumpy-burgundy-gar,299
10,stinky-teal-bobcat,847
11,snappy-goldenrod-bison,874
12,shaggy-razzmatazz-molly,350
13,skimpy-cyan-salamander,871
14,skanky-cardinal-tuatara,494
15,ugly-teal-bloodhound,409
16,cloudy-lemon-eel,272
17,silly-lime-squirt,826
18,shabby-smalt-squid,629
19,droopy-apricot-lobster,793
20,cranky-flax-rabbit,823
21,gloppy-persimmon-mandrill,754
22,scummy-alizarin-stoat,843
23,cranky-silver-caracal,457
24,bluesy-cinnabar-barnacle,781
25,messy-wisteria-goose,76
26,snazzy-puce-chinchilla,966
27,gamy-lavender-dollar,379
28,ready-khaki-coyote,161
29,clammy-magenta-drever,461
30,sunny-gold-gar,173
31,stinky-zucchini-fossa,378
32,freaky-zucchini-clam,770
33,cranky-violet-sparrow,224
34,silly-cardinal-tzu,757
35,flabby-bistre-bird,944
36,woozy-wisteria-lynx,795
37,woolly-pumpkin-tarantula,685
38,pokey-rust-sponge,629
39,gimpy-scarlet-koala,789
40,clammy-purple-termite,88
41,crabby-lemon-dalmatian,866
42,cloudy-cardinal-snail,604
43,hasty-copper-penguin,65
44,seedy-cyan-zorse,520
45,gummy-cardinal-affenpinscher,70
46,snoopy-ivory-booby,367
47,woozy-smalt-dog,79
48,hazy-harlequin-flamingo,405
49,skimpy-linen-uakari,708
50,homey-alizarin-zonkey,108
51,ugly-malachite-millipede,160
52,crappy-pumpkin-corgi,733
53,leaky-chestnut-turtle,885
54,snoopy-white-cattle,763
55,sickly-mauve-jellyfish,312
56,sleazy-amaranth-dodo,266
57,slimy-cream-tortoise,959
58,queasy-lilac-avocet,182
59,shaggy-turquoise-turkey,710
60,shaggy-salmon-tetra,137
61,thirsty-asparagus-lion,729
62,cranky-black-moth,167
63,crappy-salmon-moose,566
64,muggy-yellow-rhinoceros,978
65,sleazy-jade-clam,628
66,snippy-auburn-terrier,301
67,flimsy-alizarin-eleuth,569
68,ready-green-macaque,219
69,sunny-magenta-flounder,155
70,pasty-lilac-hippopotamus,399
71,grumpy-pink-bombay,863
72,tacky-tomato-dalmatian,821
73,surly-chestnut-flounder,89
74,lumpy-magenta-bandicoot,817
75,pasty-amaranth-stoat,751
76,wheezy-ochre-monster,0
77,squeaky-mustard-caracal,292
78,zippy-sepia-echidna,13
79,gloppy-firebrick-blue,69
80,skanky-peach-wolverine,868
81,sickly-auburn-tarsier,225
82,snazzy-tan-skunk,266
83,muggy-myrtle-lynx,774
84,chummy-charcoal-barb,699
85,baggy-grey-peccary,616
86,baggy-orange-squirrel,295
87,grumpy-olivine-warthog,562
88,crabby-magenta-rabbit,287
89,cozy-tomato-wolfhound,986
90,shabby-apricot-dog,398
91,ugly-lemon-eel,703
92,snappy-mustard-cougar,653
93,squeaky-grey-dolphin,89
94,sleepy-ecru-setter,987
95,snazzy-red-goose,282
96,lanky-thistle-avocet,473
97,tasty-firebrick-manatee,844
98,thirsty-harlequin-scorpion,207
99,wheezy-corn-cattle,292
100,crappy-tangerine-tamarin,466
