grade_id,supervisor_id,grade,date
1,1,8,2019-12-11 23:00:00
2,1,7,2019-12-26 23:00:00
3,3,6,2019-12-15 23:00:00
4,3,10,2019-12-21 23:00:00
5,4,1,2019-12-12 23:00:00
6,6,6,2019-12-28 23:00:00
7,7,2,2019-12-05 23:00:00
8,8,5,2019-12-03 23:00:00
9,8,7,2019-12-04 23:00:00
10,9,10,2019-12-24 23:00:00
11,9,1,2019-12-18 23:00:00
12,10,10,2019-12-18 23:00:00
13,10,3,2019-12-19 23:00:00
14,11,8,2019-12-19 23:00:00
15,12,8,2019-12-15 23:00:00
16,13,6,2019-12-26 23:00:00
17,14,10,2019-12-26 23:00:00
18,14,6,2019-12-25 23:00:00
19,15,9,2019-12-30 23:00:00
20,16,9,2019-12-30 23:00:00
21,16,7,2019-12-29 23:00:00
22,19,9,2019-12-25 23:00:00
23,21,9,2019-12-17 23:00:00
24,21,10,2019-12-25 23:00:00
25,22,7,2019-12-20 23:00:00
26,22,10,2019-12-31 23:00:00
27,24,9,2019-12-28 23:00:00
28,25,4,2019-12-03 23:00:00
29,26,7,2019-12-27 23:00:00
30,28,10,2019-12-25 23:00:00
31,29,9,2019-12-28 23:00:00
32,30,4,2019-12-17 23:00:00
33,31,10,2019-12-28 23:00:00
34,32,10,2019-12-29 23:00:00
35,32,6,2019-12-20 23:00:00
36,33,9,2019-12-23 23:00:00
37,34,5,2019-12-24 23:00:00
38,35,3,2019-12-18 23:00:00
39,36,10,2019-12-18 23:00:00
40,36,1,2019-12-24 23:00:00
41,37,9,2019-12-30 23:00:00
42,37,10,2019-12-27 23:00:00
43,38,10,2019-12-18 23:00:00
44,39,9,2019-12-26 23:00:00
45,39,10,2019-12-07 23:00:00
46,41,7,2019-12-22 23:00:00
47,41,5,2019-12-11 23:00:00
48,42,3,2019-12-30 23:00:00
49,44,10,2019-12-22 23:00:00
50,45,8,2019-12-30 23:00:00
51,47,10,2019-12-30 23:00:00
52,49,7,2019-12-31 23:00:00
53,50,4,2019-12-29 23:00:00
54,52,7,2019-12-19 23:00:00
55,54,6,2019-12-07 23:00:00
56,54,4,2019-12-28 23:00:00
57,55,9,2019-12-14 23:00:00
58,55,10,2019-12-24 23:00:00
59,56,6,2019-12-28 23:00:00
60,56,9,2019-12-17 23:00:00
61,58,10,2019-12-31 23:00:00
62,61,4,2019-12-23 23:00:00
63,62,0,2019-12-31 23:00:00
64,62,10,2019-12-31 23:00:00
65,64,10,2019-12-31 23:00:00
66,67,5,2019-12-30 23:00:00
67,68,10,2019-12-31 23:00:00
68,69,9,2019-12-31 23:00:00
69,69,9,2019-12-31 23:00:00
70,70,9,2019-12-31 23:00:00
71,74,10,2019-12-18 23:00:00
72,74,10,2019-12-16 23:00:00
73,75,8,2019-12-28 23:00:00
74,75,9,2019-12-11 23:00:00
75,79,10,2019-12-31 23:00:00
76,81,9,2019-12-29 23:00:00
77,82,5,2019-12-23 23:00:00
78,83,2,2019-12-23 23:00:00
79,83,6,2019-12-17 23:00:00
80,84,7,2019-12-22 23:00:00
81,84,10,2019-12-20 23:00:00
82,85,10,2019-12-28 23:00:00
83,86,10,2019-12-20 23:00:00
84,86,5,2019-12-25 23:00:00
85,88,10,2019-12-28 23:00:00
86,88,9,2019-12-26 23:00:00
87,89,10,2019-12-31 23:00:00
88,90,3,2019-12-31 23:00:00
89,90,9,2019-12-31 23:00:00
90,92,10,2019-12-25 23:00:00
91,92,10,2019-12-28 23:00:00
92,93,5,2019-12-22 23:00:00
