group_id,group_name,group_creator
1,flaky-purple-angelfish,43
2,cheeky-firebrick-kakapo,406
3,lanky-salmon-markhor,407
4,cranky-amaranth-albatross,836
5,wiggy-salmon-orangutan,4
6,flimsy-crimson-quail,933
7,lanky-orchid-stoat,521
8,seedy-chartreuse-echidna,658
9,shaky-bistre-impala,343
10,foggy-asparagus-oyster,254
11,goopy-purple-russel,898
12,dorky-wisteria-monkey,82
13,clammy-sapphire-dalmatian,931
14,blurry-brass-echidna,884
15,scanty-viridian-dragon,532
16,fuzzy-lemon-harrier,462
17,gummy-orange-penguin,342
18,droopy-bronze-dragon,936
19,snippy-linen-hamster,44
20,paltry-pumpkin-sponge,985
21,trippy-chartreuse-millipede,462
22,chummy-vermilion-mandrill,25
23,pretty-flax-coral,832
24,tasty-cinnabar-discus,892
25,randy-black-harrier,9
26,squirrely-champagne-gecko,897
27,stinky-crimson-impala,817
28,flabby-seashell-wolfhound,450
29,sickly-viridian-kakapo,595
30,gloppy-emerald-spider,713
31,lumpy-chocolate-leopard,464
32,gummy-magnolia-kangaroo,884
33,sleepy-salmon-falcon,915
34,nippy-ruby-rat,458
35,skinny-bronze-gar,540
36,boozy-copper-dane,321
37,stealthy-brown-lionfish,886
38,tasty-aquamarine-chameleon,392
39,cranky-dandelion-barnacle,690
40,hilly-viridian-axolotl,686
41,blurry-cerise-tang,741
42,wimpy-purple-bandicoot,727
43,squirrely-sepia-dugong,692
44,chummy-seashell-schnauzer,251
45,messy-red-akita,572
46,gloppy-platinum-stingray,962
47,stinky-bronze-mongrel,835
48,homely-olivine-dalmatian,940
49,stinky-wheat-cow,686
50,snazzy-apricot-macaque,315
51,geeky-grey-mist,744
52,slimy-denim-dhole,67
53,cranky-purple-husky,792
54,nerdy-rose-mandrill,517
55,snappy-aqua-buffalo,497
56,stinky-bistre-gorilla,49
57,squeaky-aquamarine-sparrow,593
58,scanty-turquoise-tetra,778
59,homely-razzmatazz-uakari,503
60,beady-asparagus-toad,237
61,muggy-amethyst-catfish,561
62,hasty-tangerine-gorilla,696
63,squirrely-brown-uakari,403
64,stealthy-azure-dog,896
65,slimy-harlequin-nightingale,593
66,lovely-scarlet-rhinoceros,459
67,grumpy-rose-lynx,648
68,pretty-flax-wallaby,796
69,skanky-viridian-akbash,458
70,gloppy-aquamarine-dhole,886
71,nerdy-heliotrope-zebu,820
72,slaphappy-chocolate-coyote,418
73,gimpy-scarlet-woodpecker,709
74,muzzy-brown-cuscus,176
75,pasty-cobalt-ocelot,559
76,stinky-aqua-lionfish,720
77,grumpy-champagne-tortoise,549
78,crappy-mustard-ostrich,55
79,pokey-ecru-mule,125
80,surly-gamboge-lynx,351
81,clammy-carmine-okapi,927
82,geeky-fuchsia-ragdoll,415
83,sickly-lilac-dugong,848
84,flaky-red-mayfly,586
85,beady-malachite-audemer,816
86,paltry-sepia-forest,756
87,freaky-turquoise-buffalo,699
88,wheezy-saffron-worm,321
89,tasty-zucchini-corgi,327
90,sleazy-orchid-buffalo,827
91,surly-crimson-moorhen,747
92,tacky-pumpkin-cockroach,874
93,stuffy-eggplant-bongo,761
94,hilly-crimson-jaguar,988
95,scanty-persimmon-gopher,365
96,squirrely-ecru-cassowary,582
97,lumpy-auburn-millipede,879
98,paltry-razzmatazz-frigatebird,855
99,hasty-xanthic-dane,298
100,thirsty-thistle-duck,832
