teacher_id,group_id,LoadDateTimeStamp,RecordSource
1,1,2019-12-09 13:40:32,kaggle
2,2,2019-12-09 13:40:32,kaggle
3,2,2019-12-09 13:40:32,kaggle
4,3,2019-12-09 13:40:32,kaggle
5,4,2019-12-09 13:40:32,kaggle
6,4,2019-12-09 13:40:32,kaggle
7,5,2019-12-09 13:40:32,kaggle
8,5,2019-12-09 13:40:32,kaggle
9,5,2019-12-09 13:40:32,kaggle
10,6,2019-12-09 13:40:32,kaggle
11,6,2019-12-09 13:40:32,kaggle
12,6,2019-12-09 13:40:32,kaggle
13,6,2019-12-09 13:40:32,kaggle
14,7,2019-12-09 13:40:32,kaggle
15,7,2019-12-09 13:40:32,kaggle
16,7,2019-12-09 13:40:32,kaggle
17,7,2019-12-09 13:40:32,kaggle
18,7,2019-12-09 13:40:32,kaggle
19,7,2019-12-09 13:40:32,kaggle
20,7,2019-12-09 13:40:32,kaggle
21,7,2019-12-09 13:40:32,kaggle
22,7,2019-12-09 13:40:32,kaggle
23,8,2019-12-09 13:40:32,kaggle
24,8,2019-12-09 13:40:32,kaggle
25,9,2019-12-09 13:40:32,kaggle
26,9,2019-12-09 13:40:32,kaggle
27,9,2019-12-09 13:40:32,kaggle
28,9,2019-12-09 13:40:32,kaggle
29,10,2019-12-09 13:40:32,kaggle
30,10,2019-12-09 13:40:32,kaggle
31,11,2019-12-09 13:40:32,kaggle
32,11,2019-12-09 13:40:32,kaggle
33,11,2019-12-09 13:40:32,kaggle
34,11,2019-12-09 13:40:32,kaggle
35,11,2019-12-09 13:40:32,kaggle
36,11,2019-12-09 13:40:32,kaggle
37,11,2019-12-09 13:40:32,kaggle
38,12,2019-12-09 13:40:32,kaggle
39,12,2019-12-09 13:40:32,kaggle
40,12,2019-12-09 13:40:32,kaggle
41,12,2019-12-09 13:40:32,kaggle
42,13,2019-12-09 13:40:32,kaggle
43,13,2019-12-09 13:40:32,kaggle
44,13,2019-12-09 13:40:32,kaggle
45,14,2019-12-09 13:40:32,kaggle
46,14,2019-12-09 13:40:32,kaggle
47,14,2019-12-09 13:40:32,kaggle
48,14,2019-12-09 13:40:32,kaggle
49,14,2019-12-09 13:40:32,kaggle
50,14,2019-12-09 13:40:32,kaggle
51,15,2019-12-09 13:40:32,kaggle
52,15,2019-12-09 13:40:32,kaggle
53,15,2019-12-09 13:40:32,kaggle
54,15,2019-12-09 13:40:32,kaggle
55,15,2019-12-09 13:40:32,kaggle
56,15,2019-12-09 13:40:32,kaggle
57,16,2019-12-09 13:40:32,kaggle
58,16,2019-12-09 13:40:32,kaggle
59,16,2019-12-09 13:40:32,kaggle
60,16,2019-12-09 13:40:32,kaggle
61,16,2019-12-09 13:40:32,kaggle
62,16,2019-12-09 13:40:32,kaggle
63,16,2019-12-09 13:40:32,kaggle
64,16,2019-12-09 13:40:32,kaggle
65,17,2019-12-09 13:40:32,kaggle
66,17,2019-12-09 13:40:32,kaggle
67,17,2019-12-09 13:40:32,kaggle
68,17,2019-12-09 13:40:32,kaggle
69,17,2019-12-09 13:40:32,kaggle
70,18,2019-12-09 13:40:32,kaggle
71,18,2019-12-09 13:40:32,kaggle
72,18,2019-12-09 13:40:32,kaggle
73,18,2019-12-09 13:40:32,kaggle
74,18,2019-12-09 13:40:32,kaggle
75,19,2019-12-09 13:40:32,kaggle
76,19,2019-12-09 13:40:32,kaggle
77,19,2019-12-09 13:40:32,kaggle
78,19,2019-12-09 13:40:32,kaggle
79,19,2019-12-09 13:40:32,kaggle
80,20,2019-12-09 13:40:32,kaggle
81,20,2019-12-09 13:40:32,kaggle
82,21,2019-12-09 13:40:32,kaggle
83,21,2019-12-09 13:40:32,kaggle
84,21,2019-12-09 13:40:32,kaggle
85,21,2019-12-09 13:40:32,kaggle
86,21,2019-12-09 13:40:32,kaggle
87,21,2019-12-09 13:40:32,kaggle
88,21,2019-12-09 13:40:32,kaggle
89,21,2019-12-09 13:40:32,kaggle
90,21,2019-12-09 13:40:32,kaggle
91,21,2019-12-09 13:40:32,kaggle
92,22,2019-12-09 13:40:32,kaggle
93,22,2019-12-09 13:40:32,kaggle
94,22,2019-12-09 13:40:32,kaggle
95,22,2019-12-09 13:40:32,kaggle
96,22,2019-12-09 13:40:32,kaggle
97,22,2019-12-09 13:40:32,kaggle
98,22,2019-12-09 13:40:32,kaggle
99,22,2019-12-09 13:40:32,kaggle
100,22,2019-12-09 13:40:32,kaggle
101,23,2019-12-09 13:40:32,kaggle
102,23,2019-12-09 13:40:32,kaggle
103,23,2019-12-09 13:40:32,kaggle
104,23,2019-12-09 13:40:32,kaggle
105,23,2019-12-09 13:40:32,kaggle
106,23,2019-12-09 13:40:32,kaggle
107,24,2019-12-09 13:40:32,kaggle
108,24,2019-12-09 13:40:32,kaggle
109,24,2019-12-09 13:40:32,kaggle
110,25,2019-12-09 13:40:32,kaggle
111,25,2019-12-09 13:40:32,kaggle
112,25,2019-12-09 13:40:32,kaggle
113,25,2019-12-09 13:40:32,kaggle
114,25,2019-12-09 13:40:32,kaggle
115,26,2019-12-09 13:40:32,kaggle
116,26,2019-12-09 13:40:32,kaggle
117,26,2019-12-09 13:40:32,kaggle
118,26,2019-12-09 13:40:32,kaggle
