LoadDateTimeStamp,grade_id,RecordSource,grade,date
2019-12-09 13:40:32,1,kaggle,8,2019-12-11 23:00:00
2019-12-09 13:40:32,2,kaggle,7,2019-12-26 23:00:00
2019-12-09 13:40:32,3,kaggle,6,2019-12-15 23:00:00
2019-12-09 13:40:32,4,kaggle,10,2019-12-21 23:00:00
2019-12-09 13:40:32,5,kaggle,1,2019-12-12 23:00:00
2019-12-09 13:40:32,6,kaggle,6,2019-12-28 23:00:00
2019-12-09 13:40:32,7,kaggle,2,2019-12-05 23:00:00
2019-12-09 13:40:32,8,kaggle,5,2019-12-03 23:00:00
2019-12-09 13:40:32,9,kaggle,7,2019-12-04 23:00:00
2019-12-09 13:40:32,10,kaggle,10,2019-12-24 23:00:00
2019-12-09 13:40:32,11,kaggle,1,2019-12-18 23:00:00
2019-12-09 13:40:32,12,kaggle,10,2019-12-18 23:00:00
2019-12-09 13:40:32,13,kaggle,3,2019-12-19 23:00:00
2019-12-09 13:40:32,14,kaggle,8,2019-12-19 23:00:00
2019-12-09 13:40:32,15,kaggle,8,2019-12-15 23:00:00
2019-12-09 13:40:32,16,kaggle,6,2019-12-26 23:00:00
2019-12-09 13:40:32,17,kaggle,10,2019-12-26 23:00:00
2019-12-09 13:40:32,18,kaggle,6,2019-12-25 23:00:00
2019-12-09 13:40:32,19,kaggle,9,2019-12-30 23:00:00
2019-12-09 13:40:32,20,kaggle,9,2019-12-30 23:00:00
2019-12-09 13:40:32,21,kaggle,7,2019-12-29 23:00:00
2019-12-09 13:40:32,22,kaggle,9,2019-12-25 23:00:00
2019-12-09 13:40:32,23,kaggle,9,2019-12-17 23:00:00
2019-12-09 13:40:32,24,kaggle,10,2019-12-25 23:00:00
2019-12-09 13:40:32,25,kaggle,7,2019-12-20 23:00:00
2019-12-09 13:40:32,26,kaggle,10,2019-12-31 23:00:00
2019-12-09 13:40:32,27,kaggle,9,2019-12-28 23:00:00
2019-12-09 13:40:32,28,kaggle,4,2019-12-03 23:00:00
2019-12-09 13:40:32,29,kaggle,7,2019-12-27 23:00:00
2019-12-09 13:40:32,30,kaggle,10,2019-12-25 23:00:00
2019-12-09 13:40:32,31,kaggle,9,2019-12-28 23:00:00
2019-12-09 13:40:32,32,kaggle,4,2019-12-17 23:00:00
2019-12-09 13:40:32,33,kaggle,10,2019-12-28 23:00:00
2019-12-09 13:40:32,34,kaggle,10,2019-12-29 23:00:00
2019-12-09 13:40:32,35,kaggle,6,2019-12-20 23:00:00
2019-12-09 13:40:32,36,kaggle,9,2019-12-23 23:00:00
2019-12-09 13:40:32,37,kaggle,5,2019-12-24 23:00:00
2019-12-09 13:40:32,38,kaggle,3,2019-12-18 23:00:00
2019-12-09 13:40:32,39,kaggle,10,2019-12-18 23:00:00
2019-12-09 13:40:32,40,kaggle,1,2019-12-24 23:00:00
2019-12-09 13:40:32,41,kaggle,9,2019-12-30 23:00:00
2019-12-09 13:40:32,42,kaggle,10,2019-12-27 23:00:00
2019-12-09 13:40:32,43,kaggle,10,2019-12-18 23:00:00
2019-12-09 13:40:32,44,kaggle,9,2019-12-26 23:00:00
2019-12-09 13:40:32,45,kaggle,10,2019-12-07 23:00:00
2019-12-09 13:40:32,46,kaggle,7,2019-12-22 23:00:00
2019-12-09 13:40:32,47,kaggle,5,2019-12-11 23:00:00
2019-12-09 13:40:32,48,kaggle,3,2019-12-30 23:00:00
2019-12-09 13:40:32,49,kaggle,10,2019-12-22 23:00:00
2019-12-09 13:40:32,50,kaggle,8,2019-12-30 23:00:00
2019-12-09 13:40:32,51,kaggle,10,2019-12-30 23:00:00
2019-12-09 13:40:32,52,kaggle,7,2019-12-31 23:00:00
2019-12-09 13:40:32,53,kaggle,4,2019-12-29 23:00:00
2019-12-09 13:40:32,54,kaggle,7,2019-12-19 23:00:00
2019-12-09 13:40:32,55,kaggle,6,2019-12-07 23:00:00
2019-12-09 13:40:32,56,kaggle,4,2019-12-28 23:00:00
2019-12-09 13:40:32,57,kaggle,9,2019-12-14 23:00:00
2019-12-09 13:40:32,58,kaggle,10,2019-12-24 23:00:00
2019-12-09 13:40:32,59,kaggle,6,2019-12-28 23:00:00
2019-12-09 13:40:32,60,kaggle,9,2019-12-17 23:00:00
2019-12-09 13:40:32,61,kaggle,10,2019-12-31 23:00:00
2019-12-09 13:40:32,62,kaggle,4,2019-12-23 23:00:00
2019-12-09 13:40:32,63,kaggle,0,2019-12-31 23:00:00
2019-12-09 13:40:32,64,kaggle,10,2019-12-31 23:00:00
2019-12-09 13:40:32,65,kaggle,10,2019-12-31 23:00:00
2019-12-09 13:40:32,66,kaggle,5,2019-12-30 23:00:00
2019-12-09 13:40:32,67,kaggle,10,2019-12-31 23:00:00
2019-12-09 13:40:32,68,kaggle,9,2019-12-31 23:00:00
2019-12-09 13:40:32,69,kaggle,9,2019-12-31 23:00:00
2019-12-09 13:40:32,70,kaggle,9,2019-12-31 23:00:00
2019-12-09 13:40:32,71,kaggle,10,2019-12-18 23:00:00
2019-12-09 13:40:32,72,kaggle,10,2019-12-16 23:00:00
2019-12-09 13:40:32,73,kaggle,8,2019-12-28 23:00:00
2019-12-09 13:40:32,74,kaggle,9,2019-12-11 23:00:00
2019-12-09 13:40:32,75,kaggle,10,2019-12-31 23:00:00
2019-12-09 13:40:32,76,kaggle,9,2019-12-29 23:00:00
2019-12-09 13:40:32,77,kaggle,5,2019-12-23 23:00:00
2019-12-09 13:40:32,78,kaggle,2,2019-12-23 23:00:00
2019-12-09 13:40:32,79,kaggle,6,2019-12-17 23:00:00
2019-12-09 13:40:32,80,kaggle,7,2019-12-22 23:00:00
2019-12-09 13:40:32,81,kaggle,10,2019-12-20 23:00:00
2019-12-09 13:40:32,82,kaggle,10,2019-12-28 23:00:00
2019-12-09 13:40:32,83,kaggle,10,2019-12-20 23:00:00
2019-12-09 13:40:32,84,kaggle,5,2019-12-25 23:00:00
2019-12-09 13:40:32,85,kaggle,10,2019-12-28 23:00:00
2019-12-09 13:40:32,86,kaggle,9,2019-12-26 23:00:00
2019-12-09 13:40:32,87,kaggle,10,2019-12-31 23:00:00
2019-12-09 13:40:32,88,kaggle,3,2019-12-31 23:00:00
2019-12-09 13:40:32,89,kaggle,9,2019-12-31 23:00:00
2019-12-09 13:40:32,90,kaggle,10,2019-12-25 23:00:00
2019-12-09 13:40:32,91,kaggle,10,2019-12-28 23:00:00
2019-12-09 13:40:32,92,kaggle,5,2019-12-22 23:00:00
2019-12-09 13:40:32,93,kaggle,5,2019-12-11 23:00:00
2019-12-09 13:40:32,94,kaggle,6,2019-12-17 23:00:00
2019-12-09 13:40:32,95,kaggle,6,2019-12-09 23:00:00
2019-12-09 13:40:32,96,kaggle,10,2019-12-31 23:00:00
2019-12-09 13:40:32,97,kaggle,8,2019-12-30 23:00:00
2019-12-09 13:40:32,98,kaggle,7,2019-12-30 23:00:00
2019-12-09 13:40:32,99,kaggle,6,2019-12-26 23:00:00
2019-12-09 13:40:32,100,kaggle,7,2019-12-09 23:00:00
2019-12-09 13:40:32,101,kaggle,5,2019-12-13 23:00:00
2019-12-09 13:40:32,102,kaggle,5,2019-12-15 23:00:00
2019-12-09 13:40:32,103,kaggle,8,2019-12-24 23:00:00
2019-12-09 13:40:32,104,kaggle,10,2019-12-26 23:00:00
2019-12-09 13:40:32,105,kaggle,10,2019-12-31 23:00:00
2019-12-09 13:40:32,106,kaggle,5,2019-12-29 23:00:00
2019-12-09 13:40:32,107,kaggle,9,2019-12-24 23:00:00
2019-12-09 13:40:32,108,kaggle,7,2019-12-30 23:00:00
2019-12-09 13:40:32,109,kaggle,7,2019-12-24 23:00:00
2019-12-09 13:40:32,110,kaggle,7,2019-12-30 23:00:00
2019-12-09 13:40:32,111,kaggle,10,2019-12-13 23:00:00
2019-12-09 13:40:32,112,kaggle,9,2019-12-05 23:00:00
2019-12-09 13:40:32,113,kaggle,4,2019-12-31 23:00:00
2019-12-09 13:40:32,114,kaggle,7,2019-12-21 23:00:00
2019-12-09 13:40:32,115,kaggle,10,2019-12-20 23:00:00
2019-12-09 13:40:32,116,kaggle,3,2019-12-30 23:00:00
2019-12-09 13:40:32,117,kaggle,7,2019-12-30 23:00:00
2019-12-09 13:40:32,118,kaggle,5,2019-12-30 23:00:00
2019-12-09 13:40:32,119,kaggle,9,2019-12-31 23:00:00
2019-12-09 13:40:32,120,kaggle,6,2019-12-31 23:00:00
2019-12-09 13:40:32,121,kaggle,8,2019-12-28 23:00:00
2019-12-09 13:40:32,122,kaggle,9,2019-12-13 23:00:00
2019-12-09 13:40:32,123,kaggle,7,2019-12-07 23:00:00
2019-12-09 13:40:32,124,kaggle,9,2019-12-25 23:00:00
2019-12-09 13:40:32,125,kaggle,10,2019-12-28 23:00:00
2019-12-09 13:40:32,126,kaggle,10,2019-12-19 23:00:00
2019-12-09 13:40:32,127,kaggle,9,2019-12-26 23:00:00
2019-12-09 13:40:32,128,kaggle,8,2019-12-28 23:00:00
2019-12-09 13:40:32,129,kaggle,9,2019-12-29 23:00:00
2019-12-09 13:40:32,130,kaggle,4,2019-12-26 23:00:00
2019-12-09 13:40:32,131,kaggle,9,2019-12-25 23:00:00
2019-12-09 13:40:32,132,kaggle,6,2019-12-31 23:00:00
2019-12-09 13:40:32,133,kaggle,8,2019-12-18 23:00:00
2019-12-09 13:40:32,134,kaggle,7,2019-12-31 23:00:00
2019-12-09 13:40:32,135,kaggle,6,2019-12-27 23:00:00
2019-12-09 13:40:32,136,kaggle,10,2019-12-20 23:00:00
2019-12-09 13:40:32,137,kaggle,10,2019-12-21 23:00:00
2019-12-09 13:40:32,138,kaggle,10,2019-12-26 23:00:00
2019-12-09 13:40:32,139,kaggle,3,2019-12-26 23:00:00
2019-12-09 13:40:32,140,kaggle,9,2019-12-13 23:00:00
2019-12-09 13:40:32,141,kaggle,10,2019-12-17 23:00:00
2019-12-09 13:40:32,142,kaggle,7,2019-12-30 23:00:00
2019-12-09 13:40:32,143,kaggle,10,2019-12-25 23:00:00
2019-12-09 13:40:32,144,kaggle,9,2019-12-24 23:00:00
2019-12-09 13:40:32,145,kaggle,6,2019-12-31 23:00:00
2019-12-09 13:40:32,146,kaggle,10,2019-12-25 23:00:00
2019-12-09 13:40:32,147,kaggle,10,2019-12-12 23:00:00
2019-12-09 13:40:32,148,kaggle,4,2019-12-29 23:00:00
2019-12-09 13:40:32,149,kaggle,9,2019-12-25 23:00:00
2019-12-09 13:40:32,150,kaggle,8,2019-12-06 23:00:00
2019-12-09 13:40:32,151,kaggle,10,2019-12-20 23:00:00
2019-12-09 13:40:32,152,kaggle,10,2019-12-06 23:00:00
2019-12-09 13:40:32,153,kaggle,3,2019-12-29 23:00:00
2019-12-09 13:40:32,154,kaggle,10,2019-12-15 23:00:00
2019-12-09 13:40:32,155,kaggle,3,2019-12-19 23:00:00
2019-12-09 13:40:32,156,kaggle,9,2019-12-20 23:00:00
2019-12-09 13:40:32,157,kaggle,7,2019-12-10 23:00:00
2019-12-09 13:40:32,158,kaggle,10,2019-12-31 23:00:00
2019-12-09 13:40:32,159,kaggle,9,2019-12-26 23:00:00
2019-12-09 13:40:32,160,kaggle,7,2019-12-19 23:00:00
2019-12-09 13:40:32,161,kaggle,9,2019-12-28 23:00:00
2019-12-09 13:40:32,162,kaggle,8,2019-12-29 23:00:00
2019-12-09 13:40:32,163,kaggle,10,2019-12-31 23:00:00
2019-12-09 13:40:32,164,kaggle,7,2019-12-30 23:00:00
2019-12-09 13:40:32,165,kaggle,6,2019-12-27 23:00:00
2019-12-09 13:40:32,166,kaggle,10,2019-12-30 23:00:00
2019-12-09 13:40:32,167,kaggle,5,2019-12-28 23:00:00
2019-12-09 13:40:32,168,kaggle,7,2019-12-29 23:00:00
2019-12-09 13:40:32,169,kaggle,8,2019-12-26 23:00:00
2019-12-09 13:40:32,170,kaggle,8,2019-12-31 23:00:00
2019-12-09 13:40:32,171,kaggle,5,2019-12-31 23:00:00
2019-12-09 13:40:32,172,kaggle,4,2019-12-25 23:00:00
2019-12-09 13:40:32,173,kaggle,4,2019-12-31 23:00:00
2019-12-09 13:40:32,174,kaggle,5,2019-12-27 23:00:00
2019-12-09 13:40:32,175,kaggle,9,2019-12-29 23:00:00
