group_id,group_name,group_creator
1,shabby-persimmon-crocodile,702
2,leaky-amaranth-tamarin,719
3,flabby-buff-barnacle,766
4,muzzy-malachite-jackal,883
5,gummy-tangerine-weasel,158
6,wimpy-khaki-lobster,370
7,snoopy-turquoise-manatee,560
8,queasy-sangria-booby,634
9,hasty-copper-lion,515
10,hilly-corn-collie,442
11,lumpy-sepia-zebu,122
12,breezy-olive-quail,334
13,squirrely-razzmatazz-insect,722
14,squirrely-cinnabar-termite,280
15,wiggy-champagne-vulture,814
16,skanky-red-gharial,98
17,zippy-cerise-deer,407
18,stinky-champagne-chimpanzee,886
19,fuzzy-cerise-raccoon,321
20,goopy-eggplant-rhinoceros,765
21,breezy-olivine-giraffe,122
22,queasy-pear-sponge,783
23,seedy-pumpkin-lobster,164
24,crabby-coral-mammoth,595
25,dorky-bistre-angelfish,805
26,stuffy-heliotrope-flamingo,538
27,sunny-thistle-tiger,10
28,beady-sepia-kingfisher,512
29,queasy-zucchini-gecko,887
30,flabby-cobalt-owl,681
31,stuffy-wisteria-hare,212
32,hasty-copper-bracke,124
33,snoopy-emerald-wolverine,512
34,chewy-zucchini-squirt,413
35,cheeky-teal-hippopotamus,234
36,chewy-cyan-wolf,129
37,scanty-persimmon-giraffe,996
38,sunny-taupe-gerbil,561
39,sloppy-wheat-otter,448
40,leaky-tomato-opossum,497
41,skinny-persimmon-sponge,971
42,slimy-coral-lynx,497
43,hazy-cream-emu,17
44,hasty-cyan-dog,871
45,grumpy-amber-toad,514
46,gimpy-khaki-toucan,323
47,clammy-flax-abyssinian,546
48,snazzy-myrtle-seahorse,52
49,flaky-orange-lemming,811
50,squirrely-gold-duck,635
51,bumpy-cyan-crab,260
52,sleepy-cyan-chow,507
53,ready-corn-havanese,325
54,squeaky-sapphire-grouse,721
55,sleepy-orchid-squirrel,734
56,geeky-carmine-crane,401
57,scaly-amber-foxhound,783
58,leaky-platinum-bombay,687
59,skimpy-sangria-schnauzer,752
60,pretty-black-audemer,794
61,snappy-jade-spoonbill,468
62,lousy-razzmatazz-forest,149
63,queasy-violet-buffalo,678
64,beady-periwinkle-oyster,949
65,homey-viridian-sheepdog,203
66,shaggy-malachite-cuttlefish,38
67,skimpy-linen-spoonbill,238
68,bumpy-emerald-shrimp,314
69,gamy-orange-anteater,715
70,skimpy-pumpkin-fousek,267
71,bluesy-brown-chamois,629
72,lumpy-brown-quokka,691
73,foggy-coral-jaguar,234
74,pokey-viridian-seahorse,635
75,craggy-scarlet-bandicoot,869
76,chummy-crimson-lynx,798
77,freaky-buff-armadillo,42
78,flabby-ivory-opossum,269
79,scanty-firebrick-cougar,266
80,cloudy-plum-hummingbird,358
81,sleazy-viridian-mongrel,962
82,smelly-malachite-fly,762
83,ugly-eggplant-wombat,637
84,lumpy-mauve-zebu,635
85,lumpy-sepia-devil,365
86,lovely-taupe-emu,726
87,surly-salmon-dachsbracke,524
88,smelly-auburn-fox,127
89,cheeky-viridian-cuscus,832
90,sickly-platinum-iguana,522
91,crabby-silver-ray,217
92,pasty-alizarin-avocet,396
93,snoopy-bronze-sheep,636
94,nippy-pumpkin-monkey,152
95,shaky-cream-guppy,813
96,foggy-coral-deer,57
97,pokey-lavender-gorilla,989
98,shaky-cyan-tortoise,578
99,shaky-lime-wolfhound,289
100,flabby-coral-seal,332
