supervisor_id,teacher_id,submission_id
1,4,4
2,1,5
3,6,5
4,5,6
5,6,6
6,7,6
7,8,7
8,5,7
9,8,8
10,3,8
11,9,8
12,6,9
13,9,10
14,5,10
15,3,11
16,2,11
17,2,12
18,6,13
19,3,15
20,4,15
21,10,16
22,9,16
23,4,17
24,3,18
25,7,19
26,2,19
27,5,20
28,10,24
29,9,24
30,5,25
31,3,25
32,8,25
33,6,26
34,8,27
35,6,27
36,5,27
37,5,28
38,2,28
39,8,30
40,9,30
41,1,30
42,4,33
43,9,34
44,8,35
45,10,36
46,4,36
47,2,36
48,3,37
49,8,37
50,5,37
51,6,39
52,3,39
53,4,39
54,4,42
55,7,42
56,8,43
57,10,43
58,7,44
59,10,44
60,1,44
61,10,45
62,7,46
63,5,46
64,2,46
65,9,47
66,10,50
67,5,50
68,10,51
69,7,51
70,4,51
71,8,53
72,2,54
73,7,55
74,4,55
75,10,55
76,7,56
77,3,58
78,6,59
79,2,59
80,6,60
81,5,60
82,9,60
83,8,61
84,1,61
85,1,63
86,7,63
87,9,64
88,4,64
89,8,66
90,6,66
91,6,67
92,5,67
93,4,68
94,9,68
95,2,68
96,5,69
97,8,69
98,5,70
99,3,70
100,9,71
101,6,72
102,2,72
103,3,73
104,8,74
105,3,74
106,9,74
107,1,76
108,4,76
109,3,76
110,5,78
111,8,79
112,4,79
113,6,80
114,4,82
115,8,82
116,1,82
117,2,84
118,8,84
119,9,84
120,7,85
121,4,85
122,8,86
123,3,86
124,9,88
125,8,88
126,9,89
127,1,89
128,7,90
129,3,90
130,1,92
131,1,93
132,2,93
133,4,94
134,1,94
135,9,94
136,4,95
137,8,96
138,10,97
139,3,97
140,9,98
141,10,99
142,2,102
143,3,102
144,2,103
145,5,103
146,10,104
147,5,106
148,3,106
149,4,106
150,6,107
151,9,108
152,5,108
153,1,108
154,3,109
155,7,110
156,9,110
157,2,110
158,9,111
159,7,112
160,8,112
161,6,112
162,5,113
163,4,113
164,4,114
165,2,115
166,1,115
167,8,116
168,6,116
169,1,116
170,3,117
171,8,117
172,1,118
173,1,119
174,3,120
175,8,120
176,3,122
177,1,122
178,2,122
179,10,124
180,4,125
181,5,125
182,9,127
183,7,127
184,9,128
185,1,129
186,10,130
187,1,130
188,8,132
189,1,132
190,9,134
191,10,138
192,7,141
