supervisor_id,teacher_id,submission_id
0,0,0
1,0,1
2,0,2
3,0,3
4,0,4
5,0,5
6,0,6
7,0,7
8,0,8
9,0,11
10,0,12
11,0,13
12,0,14
13,0,15
14,0,16
15,0,17
16,0,18
17,0,19
18,0,21
19,0,22
20,0,23
21,0,24
22,0,25
23,0,26
24,0,27
25,0,28
26,0,29
27,0,30
28,0,31
29,0,32
30,0,33
31,0,34
32,0,35
33,0,36
34,0,38
35,0,39
36,0,40
37,0,42
38,0,43
39,0,44
40,0,45
41,0,46
42,0,47
43,0,48
44,0,51
45,0,53
46,0,54
47,0,56
48,0,57
49,0,58
50,0,59
51,0,60
52,0,61
53,0,62
54,0,63
55,0,64
56,0,65
57,0,66
58,0,67
59,0,69
60,0,70
61,0,71
62,0,74
63,0,75
64,0,76
65,0,77
66,0,78
67,0,80
68,0,81
69,0,83
70,0,84
71,0,88
72,0,90
73,0,91
74,0,92
75,0,95
76,0,96
77,0,97
78,0,99
79,0,100
80,0,101
81,0,102
82,0,103
83,0,104
84,0,105
85,0,106
86,0,109
87,0,110
88,0,111
89,0,113
90,0,114
91,0,116
92,0,117
93,0,118
94,0,119
95,0,121
96,0,122
97,0,125
98,0,126
99,0,127
100,0,128
101,0,129
102,0,130
103,0,132
104,0,133
105,0,134
106,0,135
107,0,136
108,0,137
109,0,138
110,0,139
111,0,140
112,0,141
113,0,142
114,0,143
115,0,144
116,0,145
117,0,146
118,0,147
119,0,148
120,1,149
121,1,151
122,1,152
123,1,153
124,1,154
125,1,155
126,1,158
127,1,159
128,1,160
129,1,161
130,1,162
131,1,163
132,1,166
133,1,170
134,1,171
135,1,175
136,1,176
137,1,177
138,1,178
139,1,180
140,1,183
141,1,184
142,1,187
143,1,188
144,1,189
145,1,191
146,1,192
147,1,193
148,1,195
149,1,197
150,1,198
151,1,201
152,1,203
153,1,204
154,1,205
155,1,206
156,1,207
157,1,208
158,1,209
159,1,210
160,1,211
161,1,212
162,1,213
163,1,214
164,1,215
165,1,216
166,1,219
167,1,221
168,1,222
169,4,223
170,4,224
171,5,224
172,3,224
173,3,225
174,3,227
175,4,228
176,2,228
177,2,229
178,3,229
179,2,231
180,2,232
181,5,232
182,4,233
183,2,233
184,2,234
185,3,235
186,5,239
187,4,239
188,4,240
189,5,240
190,5,242
191,4,242
192,3,242
193,5,243
194,5,244
195,4,244
196,2,244
197,5,245
198,4,245
199,3,245
200,5,247
201,4,247
202,2,248
203,2,249
204,3,250
205,5,250
206,3,251
207,3,252
208,3,255
209,5,255
210,3,256
211,4,256
212,5,257
213,2,258
214,3,258
215,4,258
216,2,259
217,5,259
218,4,259
219,2,260
220,5,260
221,2,263
222,4,263
223,3,266
224,4,266
225,2,267
226,4,267
227,3,267
228,4,268
229,2,268
230,3,268
231,2,270
232,5,271
233,3,271
234,2,271
235,4,274
236,3,275
237,5,275
238,2,278
239,4,278
240,5,278
241,4,279
242,2,279
243,5,279
244,4,280
245,2,280
246,5,281
247,3,281
248,2,281
249,5,282
250,4,282
251,2,282
252,2,283
253,3,283
254,4,284
255,5,284
256,3,284
257,5,286
258,3,287
259,4,287
260,2,289
261,5,289
262,4,292
263,2,293
264,3,293
265,2,296
266,3,296
267,2,297
268,3,297
269,2,298
270,5,299
271,3,301
272,5,301
273,2,302
274,5,302
275,3,302
276,5,303
277,4,303
278,3,303
279,3,304
280,4,304
281,5,304
282,3,305
283,3,307
284,5,307
285,4,308
286,5,308
287,3,308
288,4,310
289,5,310
290,3,310
291,5,312
292,4,312
293,2,314
294,3,314
295,3,315
296,2,315
297,2,317
298,5,317
299,5,318
300,4,319
301,2,319
302,5,319
303,4,321
304,4,322
305,5,323
306,2,324
