grade_id,supervisor_id,grade,date
1,1,7,2019-12-13 23:00:00
2,1,6,2019-12-13 23:00:00
3,2,10,2019-12-17 23:00:00
4,4,6,2019-12-29 23:00:00
5,5,8,2019-12-25 23:00:00
6,6,8,2019-12-23 23:00:00
7,7,7,2019-12-30 23:00:00
8,7,2,2019-12-28 23:00:00
9,8,9,2019-12-20 23:00:00
10,9,9,2019-12-30 23:00:00
11,9,10,2019-12-27 23:00:00
12,10,7,2019-12-27 23:00:00
13,10,10,2019-12-24 23:00:00
14,11,6,2019-12-21 23:00:00
15,12,7,2019-12-31 23:00:00
16,12,4,2019-12-23 23:00:00
17,14,10,2019-12-23 23:00:00
18,15,9,2019-12-30 23:00:00
19,17,4,2019-12-30 23:00:00
20,17,9,2019-12-29 23:00:00
21,18,4,2019-12-23 23:00:00
22,18,10,2019-12-12 23:00:00
23,19,10,2019-12-08 23:00:00
24,21,4,2019-12-23 23:00:00
25,22,10,2019-12-31 23:00:00
26,23,9,2019-12-24 23:00:00
27,23,10,2019-12-23 23:00:00
28,24,9,2019-12-27 23:00:00
29,25,6,2019-12-23 23:00:00
30,26,6,2019-12-30 23:00:00
31,27,10,2019-12-26 23:00:00
32,29,7,2019-12-27 23:00:00
33,29,10,2019-12-26 23:00:00
34,30,4,2019-12-18 23:00:00
35,30,8,2019-12-17 23:00:00
36,31,1,2019-12-26 23:00:00
37,32,8,2019-12-28 23:00:00
38,32,9,2019-12-29 23:00:00
39,33,10,2019-12-20 23:00:00
40,38,7,2019-12-21 23:00:00
41,38,10,2019-12-16 23:00:00
42,39,5,2019-12-17 23:00:00
43,39,7,2019-12-18 23:00:00
44,40,8,2019-12-10 23:00:00
45,40,10,2019-12-25 23:00:00
46,42,8,2019-12-22 23:00:00
47,43,7,2019-12-15 23:00:00
48,47,10,2019-12-16 23:00:00
49,47,6,2019-12-11 23:00:00
50,48,7,2019-12-29 23:00:00
51,48,10,2019-12-30 23:00:00
52,49,7,2019-12-24 23:00:00
53,50,4,2019-12-29 23:00:00
54,51,5,2019-12-19 23:00:00
55,52,5,2019-12-30 23:00:00
56,53,9,2019-12-06 23:00:00
57,53,10,2019-12-15 23:00:00
58,54,8,2019-12-29 23:00:00
59,56,10,2019-12-30 23:00:00
60,56,9,2019-12-31 23:00:00
61,57,9,2019-12-25 23:00:00
62,58,6,2019-12-17 23:00:00
63,58,2,2019-12-18 23:00:00
64,60,6,2019-12-27 23:00:00
65,62,9,2019-12-28 23:00:00
66,63,10,2019-12-30 23:00:00
67,63,8,2019-12-27 23:00:00
68,65,8,2019-12-31 23:00:00
69,69,10,2019-12-24 23:00:00
70,70,9,2019-12-27 23:00:00
71,71,3,2019-12-14 23:00:00
72,71,4,2019-12-10 23:00:00
73,72,10,2019-12-29 23:00:00
74,72,9,2019-12-28 23:00:00
75,73,9,2019-12-21 23:00:00
76,73,10,2019-12-19 23:00:00
77,75,9,2019-12-31 23:00:00
78,75,4,2019-12-24 23:00:00
79,78,3,2019-12-16 23:00:00
80,78,6,2019-12-23 23:00:00
81,82,9,2019-12-26 23:00:00
82,83,10,2019-12-20 23:00:00
83,84,9,2019-12-19 23:00:00
84,84,10,2019-12-29 23:00:00
85,86,10,2019-12-28 23:00:00
86,87,10,2019-12-22 23:00:00
87,90,2,2019-12-28 23:00:00
88,90,10,2019-12-27 23:00:00
89,92,4,2019-12-21 23:00:00
90,93,10,2019-12-30 23:00:00
91,94,10,2019-12-31 23:00:00
92,95,6,2019-12-31 23:00:00
93,95,8,2019-12-31 23:00:00
94,96,5,2019-12-27 23:00:00
95,96,6,2019-12-25 23:00:00
96,98,8,2019-12-16 23:00:00
97,98,7,2019-12-26 23:00:00
98,99,9,2019-12-25 23:00:00
99,100,9,2019-12-09 23:00:00
100,100,7,2019-12-09 23:00:00
101,101,9,2019-12-12 23:00:00
102,102,7,2019-12-23 23:00:00
103,102,8,2019-12-15 23:00:00
104,104,9,2019-12-15 23:00:00
105,108,10,2019-12-28 23:00:00
106,113,6,2019-12-24 23:00:00
107,114,9,2019-12-31 23:00:00
108,114,10,2019-12-23 23:00:00
109,116,9,2019-12-25 23:00:00
110,116,10,2019-12-19 23:00:00
111,117,9,2019-12-26 23:00:00
112,120,8,2019-12-20 23:00:00
113,120,4,2019-12-22 23:00:00
114,121,7,2019-12-21 23:00:00
115,122,1,2019-12-15 23:00:00
116,123,10,2019-12-12 23:00:00
117,123,10,2019-12-21 23:00:00
118,124,2,2019-12-31 23:00:00
119,125,2,2019-12-28 23:00:00
120,125,3,2019-12-20 23:00:00
121,126,6,2019-12-08 23:00:00
122,127,9,2019-12-21 23:00:00
123,127,10,2019-12-24 23:00:00
124,128,8,2019-12-31 23:00:00
125,131,9,2019-12-28 23:00:00
126,131,4,2019-12-28 23:00:00
127,132,6,2019-12-29 23:00:00
128,132,10,2019-12-31 23:00:00
129,133,6,2019-12-31 23:00:00
130,134,6,2019-12-28 23:00:00
131,135,1,2019-12-19 23:00:00
132,135,8,2019-12-31 23:00:00
133,136,6,2019-12-07 23:00:00
134,136,6,2019-12-22 23:00:00
135,137,9,2019-12-06 23:00:00
136,137,7,2019-12-10 23:00:00
137,138,10,2019-12-27 23:00:00
138,139,10,2019-12-28 23:00:00
139,139,10,2019-12-31 23:00:00
140,140,6,2019-12-19 23:00:00
141,140,5,2019-12-17 23:00:00
142,141,8,2019-12-26 23:00:00
143,142,7,2019-12-22 23:00:00
