teacher_id,user_id,group_id
1,702,1
2,972,2
3,719,2
4,766,3
5,746,4
6,883,4
7,903,5
8,959,5
9,158,5
10,223,6
11,370,6
12,424,6
13,271,6
14,270,7
15,30,7
16,476,7
17,428,7
18,478,7
19,560,7
20,324,7
21,257,7
22,57,7
23,398,8
24,634,8
25,682,9
26,515,9
27,673,9
28,967,9
29,590,10
30,442,10
31,42,11
32,122,11
33,342,11
34,622,11
35,711,11
36,9,11
37,792,11
38,334,12
39,701,12
40,244,12
41,89,12
42,971,13
43,722,13
44,681,13
45,304,14
46,280,14
47,673,14
48,136,14
49,133,14
50,135,14
51,30,15
52,814,15
53,744,15
54,762,15
55,507,15
56,561,15
57,98,16
58,130,16
59,90,16
60,225,16
61,635,16
62,288,16
63,153,16
64,333,16
65,699,17
66,587,17
67,211,17
68,407,17
69,238,17
70,335,18
71,784,18
72,748,18
73,964,18
74,886,18
75,321,19
76,626,19
77,294,19
78,409,19
79,852,19
80,765,20
81,661,20
82,544,21
83,913,21
84,886,21
85,706,21
86,339,21
87,122,21
88,767,21
89,869,21
90,632,21
91,144,21
92,976,22
93,374,22
94,660,22
95,677,22
96,844,22
97,496,22
98,442,22
99,386,22
100,783,22
101,164,23
102,559,23
103,504,23
104,823,23
105,694,23
106,541,23
107,595,24
108,291,24
109,79,24
110,433,25
111,106,25
112,325,25
113,360,25
114,805,25
115,299,26
116,933,26
117,571,26
118,538,26
119,339,26
120,10,27
121,323,27
122,785,27
123,22,27
124,49,27
125,577,28
126,948,28
127,512,28
128,191,28
129,138,29
130,955,29
131,887,29
132,639,29
133,858,29
134,681,30
135,803,30
136,840,30
137,499,30
138,403,30
139,719,30
140,212,31
141,875,31
142,445,32
143,778,32
144,164,32
145,950,32
146,124,32
147,438,33
148,512,33
149,235,33
150,190,33
151,46,33
152,94,33
153,103,33
154,454,33
155,32,34
156,484,34
157,413,34
158,842,35
159,234,35
160,153,36
161,129,36
162,986,36
163,679,36
164,399,36
165,717,36
166,58,36
167,196,36
168,359,36
169,517,36
170,374,37
171,561,37
172,639,37
173,579,37
174,996,37
175,110,38
176,458,38
177,561,38
178,213,38
179,170,38
180,336,38
181,206,39
182,448,39
183,525,39
184,833,39
185,595,39
186,517,40
187,634,40
188,362,40
189,293,40
190,497,40
191,756,40
192,62,40
193,170,41
194,305,41
195,238,41
196,583,41
197,971,41
198,811,41
199,497,42
200,902,42
201,393,42
202,762,42
203,888,43
204,17,43
205,323,43
206,729,43
207,447,43
208,887,43
209,261,43
210,871,44
211,812,45
212,898,45
213,337,45
214,514,45
215,323,46
216,379,46
217,776,46
218,345,46
219,611,46
220,332,46
221,477,46
222,546,47
223,804,47
224,897,47
225,333,47
226,99,47
227,847,47
228,892,47
229,994,47
230,557,47
231,378,47
232,52,48
233,329,48
234,811,49
235,354,49
236,854,50
237,949,50
238,635,50
239,97,50
240,324,50
241,264,50
242,981,51
243,664,51
244,260,51
245,369,51
246,822,51
247,771,51
248,722,52
249,507,52
250,267,52
251,658,52
252,953,53
253,706,53
254,133,53
255,325,53
256,840,53
257,543,53
258,271,53
259,721,54
260,460,54
261,64,54
262,813,54
263,844,55
264,378,55
265,933,55
266,734,55
267,60,56
268,401,56
269,976,56
270,787,57
271,214,57
272,593,57
273,605,57
274,783,57
275,769,57
276,285,58
277,350,58
278,756,58
279,115,58
280,131,58
281,687,58
282,671,59
283,293,59
284,388,59
285,770,59
286,212,59
287,179,59
288,752,59
289,794,60
290,459,60
291,833,60
292,667,60
293,69,60
294,522,60
295,29,60
296,533,60
297,971,60
298,486,61
299,468,61
300,568,61
301,17,61
302,149,62
303,938,63
304,517,63
305,712,63
306,367,63
307,486,63
308,678,63
309,388,63
310,949,64
311,203,65
312,887,65
313,799,65
314,621,65
315,537,65
316,652,65
317,686,65
318,748,65
319,682,66
320,291,66
321,585,66
322,38,66
323,94,66
324,157,66
325,1,66
326,689,67
327,324,67
328,426,67
329,609,67
330,525,67
331,238,67
332,211,67
333,215,67
334,786,68
335,314,68
336,691,68
337,725,68
338,878,68
339,803,68
340,341,68
341,715,69
342,314,69
343,813,69
344,115,69
345,537,69
346,36,69
347,661,70
348,325,70
349,267,70
350,385,70
351,945,70
352,279,71
353,660,71
354,629,71
355,202,71
356,691,72
357,778,73
358,592,73
359,234,73
360,986,73
361,637,73
362,635,74
363,334,74
364,491,74
365,515,74
366,468,74
367,708,75
368,924,75
369,887,75
370,869,75
371,798,76
372,414,76
373,313,76
374,275,76
375,188,77
376,42,77
377,699,77
378,528,77
379,712,77
380,445,78
381,598,78
382,57,78
383,269,78
384,583,78
385,35,78
386,290,78
387,91,78
388,418,78
389,754,78
390,898,78
391,266,79
392,869,80
393,358,80
394,317,80
395,962,81
396,468,81
397,408,82
398,628,82
399,762,82
400,901,83
401,202,83
402,637,83
403,463,83
404,866,83
405,498,83
406,348,84
407,635,84
408,523,84
409,665,84
410,34,85
411,238,85
412,352,85
413,66,85
414,365,85
415,181,85
416,233,85
417,610,85
418,658,86
419,674,86
420,790,86
421,91,86
422,726,86
423,524,87
424,65,87
425,316,87
426,127,88
427,317,88
428,614,88
429,510,88
430,696,88
431,563,88
432,832,89
433,93,89
434,790,89
435,850,90
436,415,90
437,517,90
438,502,90
439,522,90
440,316,90
441,494,90
442,217,91
443,679,91
444,945,91
445,538,91
446,521,91
447,69,92
448,908,92
449,396,92
450,297,93
451,636,93
452,89,93
453,718,93
454,529,93
455,152,94
456,482,94
