supervisor_id,teacher_id,submission_id
1,1,2
2,1,4
3,1,5
4,1,6
5,1,7
6,1,8
7,1,11
8,1,12
9,1,13
10,1,14
11,1,16
12,1,17
13,1,18
14,1,19
15,1,20
16,1,21
17,1,22
18,1,25
19,1,26
20,1,27
21,1,28
22,1,29
23,1,30
24,1,32
25,1,33
26,1,34
27,1,36
28,1,37
29,1,38
30,1,39
31,1,40
32,1,41
33,1,42
34,1,43
35,1,44
36,1,45
37,1,46
38,1,47
39,1,48
40,1,50
41,1,51
42,1,52
43,1,53
44,1,54
45,1,56
46,1,57
47,1,59
48,1,61
49,1,62
50,1,64
51,1,66
52,1,67
53,1,68
54,1,69
55,1,70
56,1,71
57,1,73
58,1,74
59,1,75
60,1,77
61,1,79
62,1,80
63,1,81
64,1,83
65,1,85
66,1,88
67,1,89
68,1,90
69,1,91
70,1,92
71,1,93
72,1,94
73,1,95
74,1,96
75,1,97
76,1,100
77,2,101
78,3,101
79,2,102
80,2,103
81,2,104
82,3,104
83,3,106
84,3,107
85,2,107
86,3,108
87,2,108
88,2,110
89,3,110
90,2,113
91,2,114
92,3,114
93,2,115
94,2,117
95,3,117
96,2,118
97,3,118
98,2,119
99,3,120
100,3,121
101,2,123
102,3,123
103,3,124
104,3,126
105,2,126
106,2,127
107,3,127
108,3,128
109,3,129
110,2,129
111,2,130
112,3,131
113,2,131
114,2,132
115,3,133
116,2,133
117,3,134
118,2,134
119,2,135
120,3,135
121,2,136
122,2,138
123,3,138
124,3,139
125,3,141
126,2,141
127,2,142
128,3,143
129,2,143
130,2,144
131,3,144
132,3,145
133,2,145
134,2,147
135,3,147
136,3,149
137,2,149
138,3,150
139,2,150
140,3,151
141,2,151
142,2,154
143,2,155
144,3,155
145,3,156
146,2,157
147,3,157
148,2,158
149,3,159
150,2,159
151,3,161
152,2,162
153,2,163
154,3,163
155,3,164
156,2,166
157,3,169
158,2,171
159,2,172
160,3,172
161,3,173
162,2,173
163,3,175
164,2,176
165,3,176
166,3,177
167,2,177
168,2,178
169,3,178
170,2,180
171,3,183
172,2,183
173,2,184
174,3,185
175,2,185
176,3,186
177,2,186
178,3,188
179,2,192
180,2,195
181,3,195
182,2,197
183,3,197
184,3,199
185,3,200
186,2,200
187,2,201
188,3,201
189,3,202
190,3,203
191,2,203
192,3,204
193,2,205
194,3,205
195,3,208
196,2,209
197,2,210
198,2,211
199,3,211
200,2,213
201,3,213
202,2,214
203,2,215
204,3,215
205,3,218
206,2,218
207,2,219
208,3,219
209,2,220
210,2,221
211,3,222
212,2,222
213,2,224
214,3,224
215,3,227
216,2,227
217,3,228
218,2,229
219,3,229
220,3,231
221,2,231
222,3,232
223,3,233
224,2,235
225,3,235
226,2,240
227,3,240
228,2,241
229,3,241
230,2,242
231,3,242
232,2,243
233,3,243
234,2,244
235,3,244
236,2,245
237,3,245
238,3,247
239,2,247
240,2,249
241,3,249
242,3,250
243,2,250
244,3,251
245,2,251
246,2,252
247,3,253
248,2,253
249,2,254
250,2,256
251,3,256
252,3,257
253,2,257
254,2,259
255,3,259
256,3,260
257,2,260
258,3,261
259,2,261
260,3,262
261,2,263
262,3,263
263,3,265
264,2,268
265,3,269
266,2,270
267,3,270
268,3,271
269,2,271
270,2,273
271,3,273
272,2,274
273,3,274
274,2,275
275,3,275
276,2,277
277,3,277
278,3,278
279,2,278
280,2,281
281,3,281
282,2,284
283,3,285
284,2,286
285,2,288
286,2,290
287,3,290
288,3,291
289,2,291
290,3,292
291,3,293
292,2,293
293,3,294
294,2,295
295,3,296
296,2,296
297,3,297
298,4,298
299,4,299
300,4,300
301,4,301
302,4,302
303,4,303
304,4,304
305,4,306
306,4,307
307,4,308
308,4,309
309,4,310
310,4,311
311,4,312
312,4,314
313,4,315
314,4,316
315,4,318
316,4,319
317,4,321
318,4,322
319,4,323
320,4,324
321,4,325
322,4,326
323,4,329
324,4,330
325,4,332
326,4,333
327,4,334
328,4,336
329,4,337
330,4,338
331,4,339
332,4,341
333,4,344
334,4,345
335,4,346
336,4,347
337,4,348
338,4,349
339,4,350
340,4,351
341,4,352
342,4,353
343,4,354
344,4,357
345,4,358
346,4,359
347,4,360
348,4,361
349,4,362
350,4,363
351,4,364
352,4,365
353,4,366
354,5,367
355,6,367
356,6,368
357,5,368
358,5,369
359,6,370
360,5,370
361,6,373
362,6,374
363,5,374
364,5,376
365,6,376
366,6,377
367,5,379
368,6,379
369,5,380
370,6,380
371,6,382
372,5,382
373,6,383
374,5,383
375,6,384
376,5,384
377,6,385
378,5,385
379,5,386
380,5,387
381,6,387
382,6,388
383,5,389
384,5,391
385,6,391
386,6,393
387,5,393
388,6,394
389,5,395
390,5,396
391,6,396
392,6,397
393,5,397
394,6,398
395,5,398
396,6,400
397,5,400
